"F_ID","Year","Nest_box","Survival","Num_recruited","April_hatch","Synchrony","Clutch_size","Age","Immigrant","beech","pop_size","Spring_temp","winter_temp","winter_precip_t","spring_precip_t","Round","Half_fall","R_pop_size","Spring_temp_max"
"BA01797",1961,"EX47",1,0,-0.913223773973685,0.481874254531317,-2.8964744222031,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"EX",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA01797",1962,"EX26",1,0,0.406936808413734,-1.96099145759965,0.756628490516024,2,0,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"EX",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA01797",1963,"EX29",1,1,0.14290469193625,-1.30956060103139,-0.461072480390351,2,0,0,-1.17676044469696,-0.310904777346599,-0.978603549459412,-2.01106931996494,-0.334401972618346,"EX",1.24334883137024,-0.983962491588143,-0.578621578832459
"608678",1961,"EX8A",1,0,-0.781207715734943,0.644731968673382,0.756628490516024,1,1,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"EX",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA02058",1961,"EX9",1,1,-0.517175599257459,0.97044739695751,0.756628490516024,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"EX",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA02058",1962,"EX6",1,1,0.670968924891218,-1.63527602931552,1.36547897596921,2,0,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"EX",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA01181",1961,"O32",1,0,-1.04523983221243,0.319016540389253,-0.461072480390351,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"O",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA01181",1962,"O30A",1,0,0.80298498312996,-1.47241831517345,1.36547897596921,2,0,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"O",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA02134",1961,"O50",1,0,-0.385159541018717,1.13330511109957,-2.28762393674991,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"O",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA02134",1962,"O48",1,0,1.33104921608493,-0.820987458605197,0.147778005062837,2,0,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"O",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA01768",1961,"O69",1,0,0.0108886336975085,1.62187825352577,-1.67877345129673,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"O",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA01768",1962,"O31",1,0,3.57532220614354,1.9475936818099,0.147778005062837,2,0,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"O",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA01893",1961,"W57",1,0,-0.913223773973685,0.481874254531317,0.147778005062837,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"W",-1.3459354591524,-1.07350361420279,1.24174471186272
