"F_ID","Year","Nest_box","Survival","Num_recruited","April_hatch","Synchrony","Clutch_size","Age","Immigrant","beech","pop_size","Spring_temp","winter_temp","winter_precip_t","spring_precip_t","Round","Half_fall","R_pop_size"
"TK26078",2009,"EX48A",1,1,-0.911523679828838,0.38360441436404,0.756628490516024,"2","0","1",0.437728519501486,1.19652089012369,-1.36678379096956,1.41133548627064,-0.762815877862356,"EX",-1.26226091708124,-0.204182413103157
"TK26078",2010,"EX48",0,0,-0.779507424699721,-0.756304167761117,1.36547897596921,"2","0","0",0.62162075019197,0.167878866531695,-0.828411198014702,-0.414313853526886,-1.42199917272102,"EX",-0.171788494228956,0.0424446029862068
"TK27406",2007,"EX49",0,0,-1.17555619008707,1.03498074700699,0.756628490516024,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"N199492",2007,"EX49B",0,0,-1.17555619008707,1.03498074700699,-0.461072480390351,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TB26839",2007,"EX51",0,1,-1.70362121060354,0.38360441436404,-0.461072480390351,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TB26890",2007,"EX51C",1,0,-1.30757244521619,0.872136663846251,0.147778005062837,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TB26890",2008,"EX51B",1,0,-0.515474914441486,0.38360441436404,0.147778005062837,"2","0","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"EX",-0.853333758511634,0.804746289080604
"TB26890",2009,"EX51C",0,2,-1.04353993495796,0.220760331203303,0.147778005062837,"2","0","1",0.437728519501486,1.19652089012369,-1.36678379096956,1.41133548627064,-0.762815877862356,"EX",-1.26226091708124,-0.204182413103157
"N199634",2007,"EX52",0,0,-1.96765372086178,0.0579162480425666,0.756628490516024,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"VN57382",2007,"EX56",0,0,-1.96765372086178,0.0579162480425666,0.756628490516024,"2","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TK27405",2007,"EX59",1,0,-0.779507424699721,1.5235129964892,-0.461072480390351,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TK27405",2008,"EX59",1,0,0.276622616333219,1.36066891332846,0.756628490516024,"2","0","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"EX",-0.853333758511634,0.804746289080604
"TK27405",2009,"EX60",1,0,-0.647491169570603,0.709292580685514,0.147778005062837,"2","0","1",0.437728519501486,1.19652089012369,-1.36678379096956,1.41133548627064,-0.762815877862356,"EX",-1.26226091708124,-0.204182413103157
"TK27405",2010,"EX60",0,0,-0.779507424699721,-0.756304167761117,1.36547897596921,"2","0","0",0.62162075019197,0.167878866531695,-0.828411198014702,-0.414313853526886,-1.42199917272102,"EX",-0.171788494228956,0.0424446029862068
"K578927",2007,"EX5A",1,0,-1.17555619008707,1.03498074700699,0.756628490516024,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"K578927",2008,"EX5A",0,0,-0.251442404183251,0.709292580685514,0.756628490516024,"2","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"EX",-0.853333758511634,0.804746289080604
"TE79390",2007,"EX62D",1,0,-1.04353993495796,1.19782483016772,-0.461072480390351,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TE79390",2008,"EX62D",0,0,0.0125901060749841,1.03498074700699,0.147778005062837,"2","0","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"EX",-0.853333758511634,0.804746289080604
"N199649",2007,"EX62G",0,0,-0.779507424699721,1.5235129964892,-1.06992296584354,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TC59725",2007,"EX62H",0,0,-0.779507424699721,1.5235129964892,0.756628490516024,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"N199644",2007,"EX64",1,0,-1.30757244521619,0.872136663846251,-0.461072480390351,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"N199644",2008,"EX64",1,0,-0.251442404183251,0.709292580685514,-0.461072480390351,"2","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"EX",-0.853333758511634,0.804746289080604
"N199644",2009,"EX64",1,0,-1.57160495547443,-0.430616001439644,0.147778005062837,"2","1","1",0.437728519501486,1.19652089012369,-1.36678379096956,1.41133548627064,-0.762815877862356,"EX",-1.26226091708124,-0.204182413103157
"N199072",2007,"EX65",1,1,-1.70362121060354,0.38360441436404,-1.06992296584354,"2","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"N199072",2008,"EX65",0,0,0.672671381720571,1.84920116281067,0.147778005062837,"2","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"EX",-0.853333758511634,0.804746289080604
"N199647",2007,"EX67",0,0,-1.30757244521619,0.872136663846251,-1.06992296584354,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TC59601",2007,"EX68",0,0,-1.17555619008707,1.03498074700699,-1.67877345129673,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TC59023",2007,"EX71",0,0,-0.911523679828838,1.36066891332846,1.36547897596921,"2","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TB27061",2007,"EX73",0,0,-0.779507424699721,1.5235129964892,0.147778005062837,"2","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TC59941",2007,"EX74",1,1,-1.30757244521619,0.872136663846251,-0.461072480390351,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TC59941",2008,"EX74",0,0,0.540655126591454,1.68635707964993,0.147778005062837,"2","0","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"EX",-0.853333758511634,0.804746289080604
"F952443",2007,"EX76",0,0,-1.17555619008707,1.03498074700699,1.36547897596921,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TK26049",2007,"EX78",0,0,-1.04353993495796,1.19782483016772,0.147778005062837,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"J644864",2007,"EX79",0,0,-1.17555619008707,1.03498074700699,0.756628490516024,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TE80637",2007,"EX8",0,0,-0.911523679828838,1.36066891332846,0.756628490516024,"2","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TC59652",2007,"EX80",0,0,-1.04353993495796,1.19782483016772,-0.461072480390351,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TE80064",2007,"EX81A",0,0,-0.647491169570603,1.68635707964993,0.147778005062837,"2","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TB28383",2007,"EX9",0,0,-1.04353993495796,1.19782483016772,0.756628490516024,"2","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"T177741",2007,"EX90",0,0,-1.04353993495796,1.19782483016772,0.147778005062837,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"R639412",2007,"MP10",0,0,-1.83563746573266,0.220760331203303,-0.461072480390351,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639314",2007,"MP14",1,0,-0.911523679828838,1.36066891332846,0.147778005062837,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639314",2008,"MP11",0,0,0.144606361204102,1.19782483016772,0.147778005062837,"2","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"MP",-0.853333758511634,0.804746289080604
"R639312",2007,"MP19",0,0,-1.30757244521619,0.872136663846251,1.36547897596921,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"TK25612",2007,"MP2",0,0,-1.17555619008707,1.03498074700699,0.147778005062837,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639471",2007,"MP20",1,0,-0.911523679828838,1.36066891332846,1.36547897596921,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639471",2008,"MP20",0,0,-0.251442404183251,0.709292580685514,1.9743294614224,"2","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"MP",-0.853333758511634,0.804746289080604
"TK25760",2007,"MP26",0,0,-1.43958870034531,0.709292580685514,-0.461072480390351,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"TK25603",2007,"MP30",0,0,-1.43958870034531,0.709292580685514,0.147778005062837,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639442",2007,"MP31",1,0,-1.17555619008707,1.03498074700699,1.36547897596921,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639442",2008,"MP27",0,0,-1.57160495547443,-0.919148250921854,1.36547897596921,"2","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"MP",-0.853333758511634,0.804746289080604
"TK27162",2007,"MP43",0,0,-1.04353993495796,1.19782483016772,-0.461072480390351,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639315",2007,"MP44",0,0,-0.515474914441486,1.84920116281067,-0.461072480390351,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"TK25624",2007,"MP46",1,0,-1.30757244521619,0.872136663846251,-0.461072480390351,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"TK25624",2008,"MP50",1,0,-1.30757244521619,-0.59346008460038,-1.06992296584354,"2","0","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"MP",-0.853333758511634,0.804746289080604
"TK25624",2009,"MP47",1,0,-1.83563746573266,-0.756304167761117,1.36547897596921,"2","0","1",0.437728519501486,1.19652089012369,-1.36678379096956,1.41133548627064,-0.762815877862356,"MP",-1.26226091708124,-0.204182413103157
"TK25624",2010,"MP46",0,0,-0.383458659312368,-0.267771918278907,0.756628490516024,"2","0","0",0.62162075019197,0.167878866531695,-0.828411198014702,-0.414313853526886,-1.42199917272102,"MP",-0.171788494228956,0.0424446029862068
"K578071",2007,"MP47",0,0,-1.57160495547443,0.546448497524777,0.756628490516024,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639308",2007,"MP51",0,0,-1.83563746573266,0.220760331203303,-2.28762393674991,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639311",2007,"MP52",1,0,-1.70362121060354,0.38360441436404,-0.461072480390351,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639311",2008,"MP52",0,0,-1.43958870034531,-0.756304167761117,-0.461072480390351,"2","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"MP",-0.853333758511634,0.804746289080604
"R639441",2007,"MP56",1,1,-1.43958870034531,0.709292580685514,-0.461072480390351,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"R639441",2008,"MP55",0,0,-0.911523679828838,-0.10492783511817,-1.06992296584354,"2","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"MP",-0.853333758511634,0.804746289080604
"TK25848",2007,"MP59",1,0,-1.83563746573266,0.220760331203303,-0.461072480390351,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"TK25848",2008,"MP56",0,0,-0.383458659312368,0.546448497524777,-1.67877345129673,"2","0","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"MP",-0.853333758511634,0.804746289080604
"TK25648",2007,"MP63",0,0,-1.43958870034531,0.709292580685514,1.36547897596921,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
"TK25707",2007,"MP7",0,0,-0.779507424699721,1.5235129964892,0.147778005062837,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"MP",-2.08011523422045,1.45494478604347
