ID,FATHER,MOTHER
BJ54632,NA,NA
BJ54648,NA,NA
BJ54669,NA,NA
BJ54679,NA,NA
BJ54684,NA,NA
BJ54688,NA,NA
BJ54689,NA,NA
BJ54691,NA,NA
BJ54694,NA,NA
BJ54695,NA,NA
BJ54715,NA,NA
BJ54717,NA,NA
BJ54722,NA,NA
BJ54723,NA,NA
BJ54736,NA,NA
BJ54737,NA,NA
BJ54739,NA,NA
BJ54751,NA,NA
BJ54761,NA,NA
BJ54768,NA,NA
BJ54772,NA,NA
BJ54773,NA,NA
BJ54781,NA,NA
BJ54782,NA,NA
BJ54783,NA,NA
BJ54788,NA,NA
BJ54789,NA,NA
BJ54791,NA,NA
BJ54794,NA,NA
BJ54795,NA,NA
BJ54800,NA,NA
BJ54821,NA,NA
BJ54830,NA,NA
BJ54852,NA,NA
BJ54869,NA,NA
BJ54893,NA,NA
BJ54900,NA,NA
BJ54968,NA,NA
BJ54971,NA,NA
BJ54977,NA,NA
BJ54979,NA,NA
BJ54981,NA,NA
BJ64313,NA,NA
BJ91038,NA,NA
BN34001,NA,NA
BN34003,NA,NA
BN34005,NA,NA
BN34022,NA,NA
BN34023,NA,NA
BN34051,NA,NA
BN34052,NA,NA
BN34053,NA,NA
BN34054,NA,NA
BN34055,NA,NA
BN34057,NA,NA
BN34058,NA,NA
BN34061,NA,NA
BN34062,NA,NA
BN34064,NA,NA
BN34065,NA,NA
BN34066,NA,NA
BN34067,NA,NA
BN34068,NA,NA
BN34069,NA,NA
BN34097,NA,NA
BN34107,NA,NA
BN34116,NA,NA
BN34216,NA,NA
BN34237,NA,NA
BN34328,NA,NA
BN34329,NA,NA
BN34330,NA,NA
BN34331,NA,NA
BN34332,NA,NA
BN34333,NA,NA
BN34334,NA,NA
BN34335,NA,NA
BN34444,NA,NA
BN34456,NA,NA
BN34731,NA,NA
BN34750,NA,NA
BN52045,NA,NA
BO68366,NA,NA
BO68367,NA,NA
BO69608,NA,NA
BP11013,NA,NA
BP11014,NA,NA
BP11016,NA,NA
BP11026,NA,NA
BP11027,NA,NA
BP11028,NA,NA
BP11029,NA,NA
BP11033,NA,NA
BP11034,NA,NA
BP11036,NA,NA
BP11037,NA,NA
BP11038,NA,NA
BP11039,NA,NA
