F_ID,Year,Nest_box,Survival,Num_recruited,April_hatch,Synchrony,Clutch_size,Age,Immigrant,beech,pop_size,Spring_temp,winter_temp,winter_precip_t,spring_precip_t,Round,Half_fall,R_pop_size,Spring_temp_GT,Spring_temp_cat
BJ05756,1979,P5,0,2,62,-11.1808729963165,9,1,0,1,127,6.209859155,4.491208791,204.2,163.7,P,73.1808729963165,74,9.75470588235294,10.4664772727273
NA21653,1979,P7,0,1,61,-12.1808729963165,11,2,0,1,127,6.209859155,4.491208791,204.2,163.7,P,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81481,1979,SW10,0,0,65,-8.18087299631647,12,1,1,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
NA22742,1979,SW104B,0,1,66,-7.18087299631647,9,1,0,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81483,1979,SW116,1,0,71,-2.18087299631647,9,1,1,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81483,1980,SW113,0,1,55,-10.4970474220139,9,2,1,2,177,6.829577465,4.122222222,93,49.6,SW,65.4970474220139,114,10.8602941176471,11.5865909090909
BS44423,1979,SW125,1,1,66,-7.18087299631647,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
BS44423,1980,SW125,1,0,51,-14.4970474220139,11,2,0,2,177,6.829577465,4.122222222,93,49.6,SW,65.4970474220139,114,10.8602941176471,11.5865909090909
BS44423,1981,O96,1,1,52,-5.97457883495809,11,3,0,0,232,8.088732394,2.404444444,163.2,131.6,SW,57.9745788349581,147,11.5273529411765,11.3026136363636
BS44423,1982,SW125,0,0,53,-8.4913956805066,9,4,0,2,175,7.332394366,4.226666667,131.9,63.3,SW,61.4913956805066,106,11.5829411764706,12.0690909090909
NC09256,1979,SW130,0,0,64,-9.18087299631647,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81478,1979,SW134,1,1,64,-9.18087299631647,9,1,1,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81478,1980,SW132,0,0,46,-19.4970474220139,9,2,1,2,177,6.829577465,4.122222222,93,49.6,SW,65.4970474220139,114,10.8602941176471,11.5865909090909
KR81469,1979,SW17,0,1,55,-18.1808729963165,12,2,1,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
BS44424,1979,SW21,1,0,58,-15.1808729963165,8,1,0,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
BS44424,1980,SW21,1,1,42,-23.4970474220139,8,2,0,2,177,6.829577465,4.122222222,93,49.6,SW,65.4970474220139,114,10.8602941176471,11.5865909090909
BS44424,1981,SW21,1,0,44,-13.9745788349581,8,3,0,0,232,8.088732394,2.404444444,163.2,131.6,SW,57.9745788349581,147,11.5273529411765,11.3026136363636
BS44424,1982,SW21,1,1,43,-18.4913956805066,9,4,0,2,175,7.332394366,4.226666667,131.9,63.3,SW,61.4913956805066,106,11.5829411764706,12.0690909090909
NC09521,1979,SW51,0,1,61,-12.1808729963165,8,1,0,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
BS44580,1979,SW63,1,1,65,-8.18087299631647,11,3,0,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
BS44580,1980,B205,0,0,47,-18.4970474220139,12,2,0,2,177,6.829577465,4.122222222,93,49.6,SW,65.4970474220139,114,10.8602941176471,11.5865909090909
NC09332,1979,SW70,0,0,67,-6.18087299631647,8,1,0,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
NC10104,1979,SW78,1,1,61,-12.1808729963165,8,1,0,1,127,6.209859155,4.491208791,204.2,163.7,SW,73.1808729963165,74,9.75470588235294,10.4664772727273
NC10104,1980,SW81,0,1,43,-22.4970474220139,12,2,0,2,177,6.829577465,4.122222222,93,49.6,SW,65.4970474220139,114,10.8602941176471,11.5865909090909
